day	Date Collected	Group	Original Cage	Exp. cage	Mouse ID	Ear Mark	M/F	DOB	Omp. Daily Dose	Tube label	Tube label__1	Plate_label	plate_	Plate_number	Plate_location	D7 C. difficile CFU/g	D8 C. difficile CFU/g	D9 C. difficile CFU/g	D10 C. difficile CFU/g	D11 C. difficile CFU/g	D12 C. difficile CFU/g	D13 C. difficile CFU/g	shared_names	cfu
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Control	plate	2	H12	NA	NA	NA	NA	NA	NA	NA	Control	NA
-7	43333	PPI	C57-88	1	1	N	F	43255	40	O+ M1	D0	Opos_M1_D0	plate	4	A10	0	0	0	0	0	0	0	Opos+M1+D0	NA
-7	43333	PPI	C57-89	1	2	1R	F	43259	40	O+ M2	D0	Opos_M2_D0	plate	4	E4	0	0	0	0	0	0	0	Opos+M2+D0	NA
-7	43333	PPI	C57-95*	1	3	1L	F	43279	40	O+ M3	D0	Opos_M3_D0	plate	4	D4	0	0	0	0	0	0	0	Opos+M3+D0	NA
-7	43333	PPI	C57-92	2	4	N	M	43273	40	O+ M4	D0	Opos_M4_D0	plate	4	C3	0	0	0	0	0	0	0	Opos+M4+D0	NA
-7	43333	PPI	C57-92	2	5	1L	M	43273	40	O+ M5	D0	Opos_M5_D0	plate	4	F6	0	0	0	0	0	0	0	Opos+M5+D0	NA
-7	43333	Clindamycin + PPI	C57-88	3	6	N	F	43255	40	CO+ M6	D0	COpos_M6_D0	plate	4	B2	0	120000	600000	200	0	0	0	COpos+M6+D0	NA
-7	43333	Clindamycin + PPI	C57-89	3	7	1R	F	43259	40	CO+ M7	D0	COpos_M7_D0_Unk	plate	4	A1	0	3999999.9999999995	5800000	1600000	0	0	0	COpos+M7+D0+Unk	NA
-7	43333	Clindamycin + PPI	C57-95	4	8	N	F	43279	40	CO+ M8	D0	COpos_M8_D0	plate	4	E5	0	0	0	0	0	0	0	COpos+M8+D0	NA
-7	43333	Clindamycin + PPI	C57-95	4	9	1R	F	43279	40	CO+ M9	D0	COpos_M7_D0	plate	4	H8	0	0	0	0	0	0	0	COpos+M7+D0	NA
-7	43333	Clindamycin + PPI	C57-95*	4	10	1L	F	43279	40	CO+ M10	D0	COpos_M10_D0	plate	4	G7	0	0	0	0	0	0	0	COpos+M10+D0	NA
-7	43333	Clindamycin	C57-95*	5	11	N	F	43279	40	C+ M11	D0	Cpos_M11_D0	plate	4	B1	0	0	4800000	600	0	0	0	Cpos+M11+D0	NA
-7	43333	Clindamycin	C57-89	5	12	1R	F	43259	40	C+ M12	D0	Cpos_M12_D0	plate	4	F5	0	11999999.999999998	29999999.999999996	1999999.9999999998	0	0	0	Cpos+M12+D0	NA
-7	43333	Clindamycin	C57-95	6	13	N	F	43279	40	C+ M13	D0	Cpos_M13_D0	plate	4	C2	0	60000000	20000000	600000	0	0	0	Cpos+M13+D0	NA
-7	43333	Clindamycin	C57-95	6	14	1R	F	43279	40	C+ M14	D0	Opos_M14_D0	plate	4	D3	0	1600000000	100000000	400000	0	0	0	Opos+M14+D0	NA
-5	43335	PPI	C57-88	1	1	N	F	43255	40	O+ M1	D2	Opos_M1_D2	plate	4	H6	0	0	0	0	0	0	0	Opos+M1+D2	NA
-5	43335	PPI	C57-89	1	2	1R	F	43259	40	O+ M2	D2	Opos_M2_D2	plate	4	F4	0	0	0	0	0	0	0	Opos+M2+D2	NA
-5	43335	PPI	C57-95*	1	3	1L	F	43279	40	O+ M3	D2	Opos_M3_D2	plate	4	B9	0	0	0	0	0	0	0	Opos+M3+D2	NA
-5	43335	PPI	C57-92	2	4	N	M	43273	40	O+ M4	D2	Opos_M4_D2	plate	4	E3	0	0	0	0	0	0	0	Opos+M4+D2	NA
-5	43335	PPI	C57-92	2	5	1L	M	43273	40	O+ M5	D2	Cpos_M5_D	plate	4	A9	0	0	0	0	0	0	0	Cpos+M5+D	NA
-5	43335	Clindamycin + PPI	C57-88	3	6	N	F	43255	40	CO+ M6	D2	COpos_M6_D2	plate	4	D1	0	120000	600000	200	0	0	0	COpos+M6+D2	NA
-5	43335	Clindamycin + PPI	C57-89	3	7	1R	F	43259	40	CO+ M7	D2	COpos_M7_D2	plate	4	D2	0	3999999.9999999995	5800000	1600000	0	0	0	COpos+M7+D2	NA
-5	43335	Clindamycin + PPI	C57-95	4	8	N	F	43279	40	CO+ M8	D2	COpos_M8_D2	plate	4	G6	0	0	0	0	0	0	0	COpos+M8+D2	NA
-5	43335	Clindamycin + PPI	C57-95	4	9	1R	F	43279	40	CO+ M9	D2	COpos_M9_D2	plate	4	C10	0	0	0	0	0	0	0	COpos+M9+D2	NA
